soil_type,rainfall,temperature,humidity,crop
Alluvial,2903.1,27.0,57.0,Coconut
Alluvial,2903.1,27.0,57.5,Coconut
Alluvial,2903.1,27.0,57.0,Coconut
Alluvial,2996.6,27.0,55.0,Coconut
Alluvial,2996.6,27.0,56.0,Coconut
Alluvial,2996.6,27.0,54.0,Coconut
Alluvial,3522.8,27.2,58.0,Coconut
Alluvial,3522.8,27.2,58.0,Coconut
Alluvial,3522.8,27.2,59.0,Coconut
Alluvial,3729.8,27.0,50.0,Coconut
Alluvial,3729.8,27.0,54.0,Coconut
Alluvial,3729.8,27.0,53.0,Coconut
Alluvial,2746.2,27.0,52.0,Coconut
Alluvial,2746.2,27.0,51.0,Coconut
Alluvial,2746.2,27.0,57.0,Coconut
Alluvial,3360.0,27.2,57.0,Coconut
Alluvial,3360.0,27.2,60.0,Coconut
Alluvial,3360.0,27.2,57.0,Coconut
Alluvial,3605.4,27.1,57.0,Coconut
Alluvial,3605.4,27.1,54.0,Coconut
Alluvial,3605.4,27.1,54.5,Coconut
Alluvial,3512.4,26.8,56.6,Coconut
Alluvial,3512.4,26.8,55.5,Coconut
Alluvial,3512.4,26.8,58.5,Coconut
Alluvial,3296.0,37.0,59.5,Coconut
Alluvial,3296.0,37.0,55.0,Coconut
Alluvial,3296.0,37.0,53.0,Coconut
Alluvial,3550.0,38.0,53.5,Coconut
Alluvial,3550.0,38.0,52.5,Coconut
Alluvial,3550.0,38.0,56.0,Coconut
Alluvial,3654.0,39.0,57.0,Coconut
Alluvial,3654.0,39.0,57.5,Coconut
Alluvial,3654.0,39.0,57.0,Coconut
Alluvial,233.0,40.0,55.0,Coconut
Alluvial,233.0,40.0,56.0,Coconut
Alluvial,233.0,40.0,54.0,Coconut
Alluvial,234.0,41.0,58.0,Coconut
Alluvial,234.0,41.0,58.0,Coconut
Alluvial,234.0,41.0,59.0,Coconut
Red,3105.0,42.0,50.0,Coconut
Red,3105.0,42.0,54.0,Coconut
Red,3105.0,42.0,53.0,Coconut
Red,236.0,43.0,52.0,Coconut
Red,236.0,43.0,51.0,Coconut
Red,2903.1,27.0,57.0,Coconut
Red,2903.1,27.0,57.0,Coconut
Red,2903.1,27.0,60.0,Coconut
Red,2996.6,27.0,57.0,Coconut
Red,2996.6,27.0,57.0,Coconut
Red,2996.6,27.0,54.0,Coconut
Red,3522.8,27.2,54.5,Coconut
Red,3522.8,27.2,56.6,Coconut
Red,3522.8,27.2,55.5,Coconut
Red,3729.8,27.0,58.5,Coconut
Red,3729.8,27.0,59.5,Coconut
Red,3729.8,27.0,55.0,Coconut
Red,2746.2,27.0,53.0,Coconut
Red,2746.2,27.0,53.5,Coconut
Red,2746.2,27.0,52.5,Coconut
Red,3360.0,27.2,56.0,Coconut
Red,3360.0,27.2,57.0,Coconut
Red,3360.0,27.2,57.5,Coconut
Red,3605.4,27.1,57.0,Coconut
Red,3605.4,27.1,55.0,Coconut
Red,3605.4,27.1,56.0,Coconut
Red,3512.4,26.8,54.0,Coconut
Red,3512.4,26.8,58.0,Coconut
Red,3512.4,26.8,58.0,Coconut
Red,3296.0,37.0,59.0,Coconut
