Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,2015,ha,683055,I,Imputed value,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,2015,kg/ha,799.4,E,Estimated value,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,2015,t,546000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,2016,ha,884000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,2016,kg/ha,714.9,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,2016,t,632000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,2017,ha,1546000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,2017,kg/ha,989,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,2017,t,1529000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,2018,ha,1564000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,2018,kg/ha,961,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,2018,t,1503000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,ha,1587000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,kg/ha,912.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,t,1448000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,ha,1888000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,kg/ha,928.5,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,t,1753000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,ha,1826000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,kg/ha,998.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,t,1823000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,ha,1859516,I,Imputed value,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,kg/ha,1009.4,E,Estimated value,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,t,1876972.48,I,Imputed value,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,ha,1910082,I,Imputed value,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,kg/ha,1026.4,E,Estimated value,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,t,1960504.49,I,Imputed value,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2015,2015,ha,319000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2015,2015,kg/ha,6689.7,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2015,2015,t,2134000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2016,2016,ha,277000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2016,2016,kg/ha,9101.1,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2016,2016,t,2521000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2017,2017,ha,305000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2017,2017,kg/ha,7426.2,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2017,2017,t,2265000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2018,2018,ha,301000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2018,2018,kg/ha,7730.9,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2018,2018,t,2327000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2019,2019,ha,308000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2019,2019,kg/ha,7519.5,A,Official figure,
